split,comparison,seed,metric,observed_difference,ci95_low,ci95_high,bootstrap_unit,replicates,bootstrap_seed,interval
random,A+B+C minus A,1,r2,0.05073665503807068,-0.015235889285753064,0.12102717212781568,unique peptide sequence,2000,20260718,percentile
random,A+B+C minus A,1,rmse,-0.03856443141500687,-0.09201406654649746,0.011414123431898519,unique peptide sequence,2000,20260718,percentile
random,A+B+C minus A,1,mae,-0.02840727124743825,-0.055732686957327714,-0.003600583197647712,unique peptide sequence,2000,20260718,percentile
random,A+B+C minus A,1,spearman,0.03087240516321177,0.006622790663934145,0.05317354002675719,unique peptide sequence,2000,20260718,percentile
random,A+B+C minus A,4,r2,0.03846353261391389,-0.04239651187237066,0.11912355285304878,unique peptide sequence,2000,20260721,percentile
random,A+B+C minus A,4,rmse,-0.0294163477624535,-0.09454660855509563,0.031772138761662815,unique peptide sequence,2000,20260721,percentile
random,A+B+C minus A,4,mae,-0.02829550084314547,-0.06611725271343907,0.009901493210586235,unique peptide sequence,2000,20260721,percentile
random,A+B+C minus A,4,spearman,0.02382510839754748,-0.005628111579983791,0.053081938053074325,unique peptide sequence,2000,20260721,percentile
random,A+B minus A,2,r2,0.021000119208862023,-0.061017369720712485,0.1009544200898072,unique peptide sequence,2000,20260719,percentile
random,A+B minus A,2,rmse,-0.01605522656136027,-0.08099811795770183,0.04488223556952587,unique peptide sequence,2000,20260719,percentile
random,A+B minus A,2,mae,-0.016901282587583277,-0.053627536598167394,0.019122407158910535,unique peptide sequence,2000,20260719,percentile
random,A+B minus A,2,spearman,0.023973295972964936,-0.006332628182958697,0.05149776261362443,unique peptide sequence,2000,20260719,percentile
random,A+B+C minus A,3,r2,0.035385570862963456,-0.01993068102603031,0.08917729891586988,unique peptide sequence,2000,20260720,percentile
random,A+B+C minus A,3,rmse,-0.02728098282332847,-0.07144762686546766,0.01540539259002033,unique peptide sequence,2000,20260720,percentile
random,A+B+C minus A,3,mae,-0.021205519699261877,-0.046380152883665565,0.0019418932249529088,unique peptide sequence,2000,20260720,percentile
random,A+B+C minus A,3,spearman,0.015068644509902973,-0.005160389457200959,0.03589426983838381,unique peptide sequence,2000,20260720,percentile
random,A+B minus A,1,r2,0.05874866342107654,-0.009505416213400177,0.13523665103474045,unique peptide sequence,2000,20260718,percentile
random,A+B minus A,1,rmse,-0.044817480258921516,-0.10507046367053029,0.007109196725151508,unique peptide sequence,2000,20260718,percentile
random,A+B minus A,1,mae,-0.03500267433101434,-0.06780604038317468,-0.004435618461361466,unique peptide sequence,2000,20260718,percentile
random,A+B minus A,1,spearman,0.04115888701803794,0.01277304745600541,0.06784633575265772,unique peptide sequence,2000,20260718,percentile
random,A+B+C minus A,0,r2,0.04360873381676256,-0.014713935963370551,0.10718448822073358,unique peptide sequence,2000,20260717,percentile
random,A+B+C minus A,0,rmse,-0.03365071790090013,-0.08450257853332606,0.011237090432221573,unique peptide sequence,2000,20260717,percentile
random,A+B+C minus A,0,mae,-0.026799731103544888,-0.05493606293161269,-0.004380565939801194,unique peptide sequence,2000,20260717,percentile
random,A+B+C minus A,0,spearman,0.029593756802127613,0.009534456651163009,0.05109592217954727,unique peptide sequence,2000,20260717,percentile
random,A+B minus A,0,r2,0.008534657775705945,-0.06708441604482808,0.08484724254604435,unique peptide sequence,2000,20260717,percentile
random,A+B minus A,0,rmse,-0.006481664779133034,-0.06759308033574667,0.05133806346185276,unique peptide sequence,2000,20260717,percentile
random,A+B minus A,0,mae,0.0002698619925683987,-0.03668358066742295,0.03755429775251507,unique peptide sequence,2000,20260717,percentile
random,A+B minus A,0,spearman,0.011688874531149862,-0.01780288588800272,0.04008995734317173,unique peptide sequence,2000,20260717,percentile
random,A+B+C minus A,2,r2,0.03780067961470113,-0.03264526647183665,0.10667683910065337,unique peptide sequence,2000,20260719,percentile
random,A+B+C minus A,2,rmse,-0.02912267521204781,-0.0884832711950287,0.024551867293251272,unique peptide sequence,2000,20260719,percentile
random,A+B+C minus A,2,mae,-0.027300543305244507,-0.0588453871547845,0.0017754317497865155,unique peptide sequence,2000,20260719,percentile
random,A+B+C minus A,2,spearman,0.02635003303970207,0.003741850269471833,0.04825661374136409,unique peptide sequence,2000,20260719,percentile
random,A+B minus A,4,r2,-0.008941171256019897,-0.09999500969194482,0.07543814536449044,unique peptide sequence,2000,20260721,percentile
random,A+B minus A,4,rmse,0.006696381488663805,-0.059144274821167984,0.07258026837381103,unique peptide sequence,2000,20260721,percentile
random,A+B minus A,4,mae,0.0036486609516317436,-0.03420803428858023,0.04366627270813177,unique peptide sequence,2000,20260721,percentile
random,A+B minus A,4,spearman,-0.0007542285623119982,-0.03782154218581758,0.03262088189127957,unique peptide sequence,2000,20260721,percentile
random,A+B minus A,3,r2,0.02395477965999837,-0.023776294149897344,0.07052584831153695,unique peptide sequence,2000,20260720,percentile
random,A+B minus A,3,rmse,-0.018371578320760307,-0.05522546194263863,0.018082654046580982,unique peptide sequence,2000,20260720,percentile
random,A+B minus A,3,mae,-0.014621588066059288,-0.036399564240133624,0.004079267385405144,unique peptide sequence,2000,20260720,percentile
random,A+B minus A,3,spearman,0.013779998290814666,-0.00779626343944676,0.0346961603994337,unique peptide sequence,2000,20260720,percentile
random,A+B+C minus A+B,0,r2,0.03507407604105661,0.0002976611175816964,0.06833300082145699,unique peptide sequence,2000,20260717,percentile
random,A+B+C minus A+B,0,rmse,-0.027169053121767095,-0.05216710022915259,-0.0002403755492586996,unique peptide sequence,2000,20260717,percentile
random,A+B+C minus A+B,0,mae,-0.027069593096113287,-0.04936206500331086,-0.0057792604327338085,unique peptide sequence,2000,20260717,percentile
random,A+B+C minus A+B,0,spearman,0.01790488227097775,-0.0011344912949000114,0.03983522088499438,unique peptide sequence,2000,20260717,percentile
random,A+B+C minus A+B,3,r2,0.011430791202965085,-0.007119475569921185,0.029235183056105885,unique peptide sequence,2000,20260720,percentile
random,A+B+C minus A+B,3,rmse,-0.008909404502568163,-0.022967078360510543,0.005457057056839908,unique peptide sequence,2000,20260720,percentile
random,A+B+C minus A+B,3,mae,-0.006583931633202589,-0.01650608451819497,0.003934822874315154,unique peptide sequence,2000,20260720,percentile
random,A+B+C minus A+B,3,spearman,0.0012886462190883075,-0.012302643761367051,0.01575327066712208,unique peptide sequence,2000,20260720,percentile
random,A+B+C minus A+B,1,r2,-0.008012008383005864,-0.029817837453505806,0.013583921562783532,unique peptide sequence,2000,20260718,percentile
random,A+B+C minus A+B,1,rmse,0.006253048843914644,-0.010501628500607966,0.024510980797160437,unique peptide sequence,2000,20260718,percentile
random,A+B+C minus A+B,1,mae,0.00659540308357609,-0.007935305961148576,0.022480757063757007,unique peptide sequence,2000,20260718,percentile
random,A+B+C minus A+B,1,spearman,-0.010286481854826168,-0.024812805349027134,0.007508885590245954,unique peptide sequence,2000,20260718,percentile
random,A+C minus A,0,r2,-0.004568160646982955,-0.04198101148944722,0.03183780063923355,unique peptide sequence,2000,20260717,percentile
random,A+C minus A,0,rmse,0.003449367740163689,-0.022933860187730252,0.03197038173307139,unique peptide sequence,2000,20260717,percentile
random,A+C minus A,0,mae,-0.006063469895148832,-0.023733838916375087,0.009522961577737932,unique peptide sequence,2000,20260717,percentile
random,A+C minus A,0,spearman,0.0007566514202096419,-0.015437250996990837,0.018952438099503557,unique peptide sequence,2000,20260717,percentile
random,A+B+C minus A+B,2,r2,0.016800560405839104,-0.006209847160834767,0.04065976580010484,unique peptide sequence,2000,20260719,percentile
random,A+B+C minus A+B,2,rmse,-0.013067448650687541,-0.030625938779315444,0.004515557168758226,unique peptide sequence,2000,20260719,percentile
random,A+B+C minus A+B,2,mae,-0.01039926071766123,-0.022673184907009265,0.001533069828390474,unique peptide sequence,2000,20260719,percentile
random,A+B+C minus A+B,2,spearman,0.0023767370667371335,-0.01007512198583665,0.01601445032256723,unique peptide sequence,2000,20260719,percentile
random,A+B+C minus A+B,4,r2,0.047404703869933784,0.021538069063237932,0.07746561954159922,unique peptide sequence,2000,20260721,percentile
random,A+B+C minus A+B,4,rmse,-0.036112729251117304,-0.05859522282040911,-0.016962201432145278,unique peptide sequence,2000,20260721,percentile
random,A+B+C minus A+B,4,mae,-0.031944161794777215,-0.04717707802106638,-0.019216922415950778,unique peptide sequence,2000,20260721,percentile
random,A+B+C minus A+B,4,spearman,0.024579336959859477,0.010333465766693842,0.0408863732933665,unique peptide sequence,2000,20260721,percentile
random,A+C minus A,4,r2,0.011607423380689097,-0.01722149558296659,0.04525387353232608,unique peptide sequence,2000,20260721,percentile
random,A+C minus A,4,rmse,-0.008771084302207077,-0.03317992136259662,0.013333161121732523,unique peptide sequence,2000,20260721,percentile
random,A+C minus A,4,mae,-0.01269977785691323,-0.030786263132644577,0.001992973626938868,unique peptide sequence,2000,20260721,percentile
random,A+C minus A,4,spearman,-0.0027988394234554903,-0.017120549641805823,0.01219881144145717,unique peptide sequence,2000,20260721,percentile
random,A+C minus A,2,r2,-0.0008455798881510379,-0.031175917138481377,0.028556068762064464,unique peptide sequence,2000,20260719,percentile
random,A+C minus A,2,rmse,0.0006402105824077076,-0.021947570808294077,0.02384519397798096,unique peptide sequence,2000,20260719,percentile
random,A+C minus A,2,mae,-0.009576870717685648,-0.024473714688001198,0.002930020039359344,unique peptide sequence,2000,20260719,percentile
random,A+C minus A,2,spearman,0.0018220077464654594,-0.010876640777646879,0.017114030000573655,unique peptide sequence,2000,20260719,percentile
random,B+C minus B,2,r2,0.12140854730794082,0.06952564919411831,0.17011890889628736,unique peptide sequence,2000,20260719,percentile
random,B+C minus B,2,rmse,-0.08494905370109518,-0.11343017123398674,-0.05095962416612054,unique peptide sequence,2000,20260719,percentile
random,B+C minus B,2,mae,-0.06921478193706376,-0.091734189919174,-0.04531599197447219,unique peptide sequence,2000,20260719,percentile
random,B+C minus B,2,spearman,0.08258576423678843,0.054536091695843524,0.1122789052337638,unique peptide sequence,2000,20260719,percentile
random,A+C minus A,1,r2,-0.021913105907440333,-0.06134590490303627,0.026727837620747444,unique peptide sequence,2000,20260718,percentile
random,A+C minus A,1,rmse,0.016141694889930003,-0.019078280623565893,0.04611450247012978,unique peptide sequence,2000,20260718,percentile
random,A+C minus A,1,mae,-0.007972024731042304,-0.028165396872661584,0.008789391343186456,unique peptide sequence,2000,20260718,percentile
random,A+C minus A,1,spearman,-0.0005726668302753479,-0.016570653485343104,0.016950493151901586,unique peptide sequence,2000,20260718,percentile
random,A+C minus A,3,r2,-0.04048819359920863,-0.07541878183600835,-0.0032974335190433567,unique peptide sequence,2000,20260720,percentile
random,A+C minus A,3,rmse,0.030190061462324058,0.0025458111844260806,0.05653007546363539,unique peptide sequence,2000,20260720,percentile
random,A+C minus A,3,mae,0.00229187346848303,-0.016372259733493422,0.01799464510563162,unique peptide sequence,2000,20260720,percentile
random,A+C minus A,3,spearman,-0.012183089735232855,-0.027428855712381427,0.005426137893925446,unique peptide sequence,2000,20260720,percentile
random,B+C minus B,1,r2,0.12921248137271124,0.07596560130866463,0.18003049368655355,unique peptide sequence,2000,20260718,percentile
random,B+C minus B,1,rmse,-0.08973834486146026,-0.11898938038548226,-0.05544468657195766,unique peptide sequence,2000,20260718,percentile
random,B+C minus B,1,mae,-0.07438849364435596,-0.10000766870646845,-0.04848156120936196,unique peptide sequence,2000,20260718,percentile
random,B+C minus B,1,spearman,0.08328808251984465,0.05334393847230812,0.11159406236623604,unique peptide sequence,2000,20260718,percentile
random,B+C minus B,0,r2,0.05622172982441964,0.03026313822261873,0.08273603066065158,unique peptide sequence,2000,20260717,percentile
random,B+C minus B,0,rmse,-0.04004600586281293,-0.054250212219603675,-0.023030853596952346,unique peptide sequence,2000,20260717,percentile
random,B+C minus B,0,mae,-0.04614572567106634,-0.058407709027275156,-0.030655242137467262,unique peptide sequence,2000,20260717,percentile
random,B+C minus B,0,spearman,0.06539266999236037,0.04080779891120329,0.09003127918135526,unique peptide sequence,2000,20260717,percentile
random,B+C minus B,3,r2,0.05301300178058477,0.02572156317531346,0.07838152844182443,unique peptide sequence,2000,20260720,percentile
random,B+C minus B,3,rmse,-0.037881294262570364,-0.053116284601330346,-0.01816355728107182,unique peptide sequence,2000,20260720,percentile
random,B+C minus B,3,mae,-0.03059295126195405,-0.042504121925727015,-0.015432325292266475,unique peptide sequence,2000,20260720,percentile
random,B+C minus B,3,spearman,0.05801827766052625,0.03459138816472919,0.08174122814888306,unique peptide sequence,2000,20260720,percentile
sequence_cluster,A+B minus A,0,r2,0.022826045922423432,-0.03990809441958654,0.1137200154232636,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+B minus A,0,rmse,-0.014087500739557446,-0.06228208412338488,0.03196860346270702,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+B minus A,0,mae,-0.04415609581109703,-0.06446837393877108,-0.006901878297439604,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+B minus A,0,spearman,-0.0038273786426387124,-0.043633233900998124,0.05642568261578838,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+B minus A,1,r2,0.04972781914181157,0.007935546269595051,0.12730871535586458,held-out 70% sequence cluster,2000,20260718,percentile
sequence_cluster,A+B minus A,1,rmse,-0.031439133699381006,-0.07744047494894253,-0.00591200377182199,held-out 70% sequence cluster,2000,20260718,percentile
sequence_cluster,A+B minus A,1,mae,-0.03722520263242168,-0.07816532497146517,-0.019055398981382404,held-out 70% sequence cluster,2000,20260718,percentile
sequence_cluster,A+B minus A,1,spearman,0.03840611238689151,0.0022514600281210054,0.08502679645180142,held-out 70% sequence cluster,2000,20260718,percentile
sequence_cluster,A+B minus A,2,r2,0.015631185172300888,-0.013962242235098402,0.13203609281777173,held-out 70% sequence cluster,2000,20260719,percentile
sequence_cluster,A+B minus A,2,rmse,-0.00978650178240581,-0.07600726401265034,0.010254559323887419,held-out 70% sequence cluster,2000,20260719,percentile
sequence_cluster,A+B minus A,2,mae,-0.011626703310209874,-0.07828372741187753,0.004309266150650136,held-out 70% sequence cluster,2000,20260719,percentile
sequence_cluster,A+B minus A,2,spearman,0.009499372334491274,-0.02393511608234999,0.09270059024017299,held-out 70% sequence cluster,2000,20260719,percentile
sequence_cluster,A+B minus A,3,r2,0.016494516155211247,-0.010677445815840726,0.16642582270793627,held-out 70% sequence cluster,2000,20260720,percentile
sequence_cluster,A+B minus A,3,rmse,-0.010299066094072162,-0.10956820490927054,0.0069217868092550285,held-out 70% sequence cluster,2000,20260720,percentile
sequence_cluster,A+B minus A,3,mae,-0.025536210558068873,-0.0922071038953141,-0.008464887453951868,held-out 70% sequence cluster,2000,20260720,percentile
sequence_cluster,A+B minus A,3,spearman,-0.0019721120085957056,-0.03743676141961388,0.08803597899618743,held-out 70% sequence cluster,2000,20260720,percentile
random,B+C minus C,1,r2,0.11111735448945359,0.0431938707136037,0.17922222442244531,unique peptide sequence,2000,20260718,percentile
random,B+C minus C,1,rmse,-0.07766999986086631,-0.12898765874679077,-0.0307826970817747,unique peptide sequence,2000,20260718,percentile
random,B+C minus C,1,mae,-0.058768818227339814,-0.09634563749349773,-0.027402543885080986,unique peptide sequence,2000,20260718,percentile
random,B+C minus C,1,spearman,0.1116999526559902,0.06835801063518403,0.15284308412548622,unique peptide sequence,2000,20260718,percentile
random,B+C minus B,4,r2,0.07326351319649838,0.03561309675794578,0.11228490016973511,unique peptide sequence,2000,20260721,percentile
random,B+C minus B,4,rmse,-0.05026939963627297,-0.07201824063222649,-0.026015625463740536,unique peptide sequence,2000,20260721,percentile
random,B+C minus B,4,mae,-0.05328381738858967,-0.0692210383530895,-0.03501730259187836,unique peptide sequence,2000,20260721,percentile
random,B+C minus B,4,spearman,0.0729948388962155,0.04714132922179016,0.0979319418337908,unique peptide sequence,2000,20260721,percentile
random,B+C minus C,0,r2,0.1081451635629701,0.043405093759103286,0.17677077338736277,unique peptide sequence,2000,20260717,percentile
random,B+C minus C,0,rmse,-0.07556563883669531,-0.1236171130787683,-0.03006465876379829,unique peptide sequence,2000,20260717,percentile
random,B+C minus C,0,mae,-0.05747549656737061,-0.09548619428814085,-0.026518221111045293,unique peptide sequence,2000,20260717,percentile
random,B+C minus C,0,spearman,0.11022680895328452,0.06533541481632339,0.15169867523057104,unique peptide sequence,2000,20260717,percentile
